FHRSID,BusinessName,BusinessType,FullAddress,PostCode,Hygiene,Structural,ConfidenceInManagement
268380,Adams Guest House,Hotel/bed & breakfast/guest house,"302 Banbury Road, Oxford, Oxfordshire",OX2 7ED,0,0,0
268401,Bath Place Hotel,Hotel/bed & breakfast/guest house,"4 - 5 Bath Place, Oxford, Oxfordshire",OX1 3SU,0,0,0
268386,Burlington House,Hotel/bed & breakfast/guest house,"374 Banbury Road, Oxford, Oxfordshire",OX2 7PP,0,0,5
841949,Claddagh,Hotel/bed & breakfast/guest house,"112 The Slade, Oxford, Oxfordshire",OX3 7DX,0,0,5
542348,Coach And Horses,Hotel/bed & breakfast/guest house,"62 St Clement's Street, Oxford, Oxfordshire",OX4 1AH,0,0,5
268384,Cotswold House,Hotel/bed & breakfast/guest house,"363 Banbury Road, Oxford, Oxfordshire",OX2 7PL,0,0,5
1205744,Courtyard By Marriott Oxford City Centre,Hotel/bed & breakfast/guest house,"15 Paradise Street, Oxford, Oxfordshire",OX1 1LD,0,0,0
848718,Hampton By Hilton Oxford,Hotel/bed & breakfast/guest house,"Grenoble Road, Oxford, Oxfordshire",OX4 4XP,0,0,0
1019669,Hawkwell House Hotel,Hotel/bed & breakfast/guest house,"Church Way, Oxford, Oxfordshire",OX4 4DZ,0,5,5
269503,Holiday Inn - Oxford,Hotel/bed & breakfast/guest house,"Holiday Inn, Peartree Roundabout, Woodstock Road",OX2 8JD,0,0,0
1569041,Holiday Inn Express Oxford,Hotel/bed & breakfast/guest house,"Express By Holiday Inn, Grenoble Road, Oxford",OX4 4XP,0,0,0
1029641,Lina Guest House,Hotel/bed & breakfast/guest house,"308 Banbury Road, Oxford, Oxfordshire",OX2 7ED,0,0,5
268965,Mulberry Guest House,Hotel/bed & breakfast/guest house,"265 London Road, Headington, Oxford",OX3 9EH,0,0,0
268971,Oxford Homeless Pathways,Hotel/bed & breakfast/guest house,"O'Hanlon House, Luther Street, Oxford",OX1 1UL,0,5,0
1680806,Pickwick Guest House,Hotel/bed & breakfast/guest house,"15 London Road, Headington, Oxford",OX3 7SP,5,5,10
1378242,Premier Inn Oxford City Centre Westgate,Hotel/bed & breakfast/guest house,"Greyfriars Court, Paradise Square, Oxford",OX1 1BE,0,5,0
268945,Red Mullions Guest House,Hotel/bed & breakfast/guest house,"23 London Road, Headington, Oxford",OX3 7RE,0,0,0
1629487,Remont Hotel,Hotel/bed & breakfast/guest house,"365 - 367 Banbury Road, Oxford, Oxfordshire",OX2 7PL,0,0,0
268336,Sportsview Guest House,Hotel/bed & breakfast/guest house,"106-110 Abingdon Road, Oxford, Oxfordshire",OX1 4PX,0,0,0
1656370,St Margaret's Hotel,Hotel/bed & breakfast/guest house,"41 St Margaret's Road, Oxford, Oxfordshire",OX2 6LD,5,5,10
269408,The Conifers Guest House,Hotel/bed & breakfast/guest house,"116 The Slade, Oxford, Oxfordshire",OX3 7DX,0,0,0
268946,The Dial Guest House,Hotel/bed & breakfast/guest house,"25 London Road, Headington, Oxford",OX3 7RE,0,0,5
268365,The Galaxie Hotel,Hotel/bed & breakfast/guest house,"180 Banbury Road, Oxford, Oxfordshire",OX2 7BT,0,0,0
1664080,The Osney Arms Guest House,Hotel/bed & breakfast/guest house,"Osney Arms, 45 Botley Road, Oxford",OX2 0BP,5,0,10
1336970,The Oxford Guest House,Hotel/bed & breakfast/guest house,"228 London Road, Headington, Oxford",OX3 9EG,0,0,0
1454504,The Randolph Hotel By Graduate Hotels,Hotel/bed & breakfast/guest house,"The Randolph Hotel, Beaumont Street, Oxford",OX1 2LN,0,5,0
268435,The River Hotel,Hotel/bed & breakfast/guest house,"17 Botley Road, Oxford, Oxfordshire",OX2 0AA,0,0,0
269155,The Royal Oxford Hotel,Hotel/bed & breakfast/guest house,"Royal Oxford Hotel, Park End Street, Oxford",OX1 1HR,N/A,N/A,N/A
1713532,The Store,Hotel/bed & breakfast/guest house,"1 - 4 Broad Street, Oxford, Oxfordshire",OX1 3AG,0,0,0
895248,Travelodge,Hotel/bed & breakfast/guest house,"Abingdon Road, Oxford, Oxfordshire",OX1 4XG,0,0,0
491704,Vanbrugh House Hotel,Hotel/bed & breakfast/guest house,"Vanbrugh House, 20-22 St Michael's Street, Oxford",OX1 2EB,5,0,5
268441,Westgate Hotel,Hotel/bed & breakfast/guest house,"1 Botley Road, Oxford, Oxfordshire",OX2 0AA,0,0,5
